Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BatteryHolder_Keystone_3000_1x12mm,1,Battery_Cell,C238097
"C1, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C2, C20, C22, C24, C3, C31, C33, C35, C4, C5, C6, C7, C8, C9",0603,25,100nf,C129621
"C21, C23",0603,2,12pf,C107034
"C25, C26, C27, C28, C29, C30, C32, C34",0603,8,10uF,C38898
"C36, C37",0402,2,12pf,C1547
D1,SOT-23,1,BAT54C,C2135
"D2, D3",0805,2,LED,C84256
J1,microSD_HC_Molex_104031-0811,1,Micro_SD_Card_Det1,C585350
J2,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03,C49257
J3,RJ45_Hanrun_HR911105A_Horizontal,1,RJ45_LED_Shielded,C12074
J4,USB_C_Receptacle_HRO_TYPE-C-31-M-17,1,USB_C_Receptacle_USB2.0_14P,C165948
J5,USB_A_Molex_67643_Horizontal,1,USB_A,C2765194
J6,PinHeader_2x20_P2.54mm_Vertical,1,Conn_02x20_Odd_Even,C50980
"L1, L2, L3",0805,3,2.2uH,C341781
"R0, R1, R11, R12, R2, R4, R5, R6, R8, R9",0603,10,10k,C99198
R10,0603,1,20k,C105575
"R13, R17, R18, R3",0603,4,330,C105879
"R14, R15",0603,2,5.1k,C3016319
R16,0603,1,6.04k,C25977
R7,0603,1,45.3k,C245971
SW1,SW_Push_1P1T_NO_CK_KMR2,1,SW_Push,C72443
U1,eLQFP-128_14x14_Pitch0.4mm_EPAD_5.72mm,1,Allwinner_V3s,C2687449
U2,QFN-20-1EP_3x3mm_P0.4mm_EP1.65x1.65mm,1,EA3036CQB,C570857
Y1,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,32.768 kHz,C620155
Y2,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,24 MHz,C70590
